normalized_name,source,pk,code,original_name,energia_kcal,proteina_g,carbs_g,fat_g,fiber_g,fooditem_refs,foodsubstitution_as_original,foodsubstitution_as_substitute,foodsubstitutionrule_as_original,foodsubstitutionrule_as_substitute,nutritionist_favorite_count,ibge_taco_ref,ibge_tbca_ref,ibge_usda_ref
biscoito tipo goiabinha c farinha integral c recheio de goiaba farinha de trigo farinha de trigo integral acucar manteiga ovo casca de limao e goiabada,TBCA,5155,C0973A,"Biscoito, tipo goiabinha, c/ farinha integral, c/ recheio de goiaba, (farinha de trigo, farinha de trigo integral, açúcar, manteiga, ovo, casca de limão e goiabada),",477.0,7.11,0.0,15.4,1.88,0,0,0,0,0,0,,,
biscoito tipo goiabinha c farinha integral c recheio de goiaba farinha de trigo farinha de trigo integral acucar manteiga ovo casca de limao e goiabada,TBCA,3046,C0188K,"Biscoito, tipo goiabinha, c/ farinha integral, c/ recheio de goiaba, (farinha de trigo, farinha de trigo integral, açúcar, manteiga, ovo, casca de limão e goiabada),",477.0,7.11,0.0,15.4,1.88,0,0,0,0,0,0,,,
biscoito tipo goiabinha c recheio de chocolate farinha de trigo acucar manteiga e chocolate ao leite,TBCA,3352,C0189K,"Biscoito, tipo goiabinha, c/ recheio de chocolate, (farinha de trigo, açúcar, manteiga e chocolate ao leite),",475.0,5.97,0.0,22.5,1.33,0,0,0,0,0,0,,,
biscoito tipo goiabinha c recheio de chocolate farinha de trigo acucar manteiga e chocolate ao leite,TBCA,1579,C0974A,"Biscoito, tipo goiabinha, c/ recheio de chocolate, (farinha de trigo, açúcar, manteiga e chocolate ao leite),",475.0,5.97,0.0,22.5,1.33,0,0,0,0,0,0,,,
biscoito tipo goiabinha c recheio de goiaba farinha de trigo acucar manteiga casca de limao e goiabada,TBCA,5516,C0972A,"Biscoito, tipo goiabinha, c/ recheio de goiaba, (farinha de trigo, açúcar, manteiga, casca de limão e goiabada),",418.0,4.65,0.0,14.9,2.2,0,0,0,0,0,0,,,
biscoito tipo goiabinha c recheio de goiaba farinha de trigo acucar manteiga casca de limao e goiabada,TBCA,4271,C0187K,"Biscoito, tipo goiabinha, c/ recheio de goiaba, (farinha de trigo, açúcar, manteiga, casca de limão e goiabada),",418.0,4.65,0.0,14.9,2.2,0,0,0,0,0,0,,,
bolo mistura p preparado media de diferentes sabores,TBCA,38,C0063A,"Bolo, mistura p/, preparado (média de diferentes sabores),",339.0,6.1,0.0,12.9,0.43,0,0,0,0,0,0,,,
bolo mistura p preparado media de diferentes sabores,TBCA,1087,C0076A,"Bolo, mistura p/, preparado (média de diferentes sabores),",343.0,5.28,0.0,13.7,0.97,0,0,0,0,0,0,,,
carne bovina em conserva,TBCA,1718,C0879F,"Carne, bovina, em conserva,",97.0,4.41,0.0,5.53,0.9,0,0,0,0,0,0,,,
carne bovina em conserva,IBGE,4976,7702601,Carne bovina em conserva,,,,,,0,0,0,0,0,0,,,
carne frango coxa e sobrecoxa s pele crua gallus gallus,TBCA,3371,C0125F,"Carne, frango, coxa e sobrecoxa, s/ pele, crua, Gallus gallus,",138.0,17.5,0.0,7.5,0.0,0,0,0,0,0,0,,,
carne frango coxa e sobrecoxa s pele crua gallus gallus,TBCA,1954,C0124F,"Carne, frango, coxa e sobrecoxa, s/ pele, crua, Gallus gallus,",136.0,17.6,0.0,7.33,0.0,0,0,0,0,0,0,,,
couve manteiga refogada c oleo cebola e alho c sal brassica oleracea var acephala,TBCA,669,C0145B,"Couve, manteiga, refogada (c/ óleo, cebola e alho), c/ sal, Brassica oleracea var. Acephala,",83.0,2.03,0.0,6.41,5.59,0,0,0,0,0,0,,,
couve manteiga refogada c oleo cebola e alho c sal brassica oleracea var acephala,TBCA,4287,C0861B,"Couve, manteiga, refogada, c/ óleo, cebola e alho, c/ sal, Brassica oleracea var. Acephala,",92.0,2.07,0.0,7.19,5.43,0,0,0,0,0,0,,,
doce de amendoim diet,TBCA,176,C0063N,"Doce de amendoim, diet,",635.0,24.8,0.0,54.9,7.8,0,0,0,0,0,0,,,
doce de amendoim diet,IBGE,3254,6913101,Doce de amendoim diet,,,,,,0,0,0,0,0,0,,,
doce de leite diet,TBCA,4215,C0077N,"Doce de leite, diet,",197.0,20.9,0.0,1.37,4.03,0,0,0,0,0,0,,,
doce de leite diet,IBGE,3222,6911301,Doce de leite diet,,,,,,0,0,0,0,0,0,,,
flan chocolate em po oetker,TBCA,1415,C0013R,"Flan, chocolate, em pó, Oetker,",392.0,0.32,0.0,0.76,4.5,0,0,0,0,0,0,,,
flan chocolate em po oetker,TBCA,3762,C0012R,"Flan, chocolate, em pó, Oetker,",393.0,1.0,0.0,0.1,1.74,0,0,0,0,0,0,,,
gelatina maracuja em po ducoco,TBCA,3422,C0024R,"Gelatina, maracujá, em pó, Ducoco,",392.0,8.86,0.0,0.0,0.08,0,0,0,0,0,0,,,
gelatina maracuja em po ducoco,TBCA,4531,C0025R,"Gelatina, maracujá, em pó, Ducoco,",392.0,8.86,0.0,0.0,0.08,0,0,0,0,0,0,,,
macarrao trigo c carne bovina musculo salsa pimenta do reino c oleo de soja e alho c sal,TBCA,3114,C1143A,"Macarrão, trigo, c/ carne bovina músculo, salsa, pimenta-do-reino, c/ óleo de soja e alho, c/ sal,",145.0,5.93,0.0,4.66,1.12,0,0,0,0,0,0,,,
macarrao trigo c carne bovina musculo salsa pimenta do reino c oleo de soja e alho c sal,TBCA,929,C1096A,"Macarrão, trigo, c/ carne bovina músculo, salsa, pimenta-do-reino, c/ óleo de soja e alho, c/ sal,",173.0,8.39,0.0,6.61,0.9,0,0,0,0,0,0,,,
mortadela light,TBCA,1887,C0065N,"Mortadela, light,",230.0,11.5,0.0,19.3,0.0,0,0,0,0,0,0,,,
mortadela light,IBGE,7253,8105001,Mortadela light,,,,,,0,0,0,0,0,0,,,
mostarda molho,TBCA,147,C0029L,"Mostarda, molho,",60.0,3.74,0.0,3.34,4.0,0,0,0,0,0,0,,,
mostarda molho,IBGE,3284,7001501,Mostarda molho,,,,,,0,0,0,0,0,0,,,
pao de queijo mistura p hikari,TBCA,3348,C0081R,"Pão de queijo, mistura p/, Hikari,",421.0,3.65,0.0,14.0,,0,0,0,0,0,0,,,
pao de queijo mistura p hikari,TBCA,842,C0045R,"Pão de queijo, mistura p/, Hikari,",421.0,3.65,0.0,14.0,,0,0,0,0,0,0,,,
papa de feijao carioca batata abobora jerimum e cenoura c caldo de frango c cebola e oleo de soja s sal,TBCA,2641,C0325N,"Papa de feijão carioca, batata, abóbora (jerimum) e cenoura, c/ caldo de frango, c/ cebola e óleo de soja, s/ sal,",72.0,2.95,0.0,2.98,4.06,0,0,0,0,0,0,,,
papa de feijao carioca batata abobora jerimum e cenoura c caldo de frango c cebola e oleo de soja s sal,TBCA,1210,C0308N,"Papa de feijão carioca, batata, abóbora (jerimum) e cenoura, c/ caldo de frango, c/ cebola e óleo de soja, s/ sal,",72.0,2.95,0.0,2.98,4.06,0,0,0,0,0,0,,,
papa de feijao carioca macarrao e chicoria c caldo de frango c cebola c oleo de soja c sal,TBCA,1037,C0110N,"Papa de feijão carioca, macarrão e chicória, c/ caldo de frango, c/ cebola, c/ óleo de soja, c/ sal,",82.0,3.33,0.0,2.99,3.87,0,0,0,0,0,0,,,
papa de feijao carioca macarrao e chicoria c caldo de frango c cebola c oleo de soja c sal,TBCA,2913,C0137N,"Papa de feijão carioca, macarrão e chicória, c/ caldo de frango, c/ cebola, c/ óleo de soja, c/ sal,",65.0,3.37,0.0,1.0,3.92,0,0,0,0,0,0,,,
papa de feijao carioca macarrao e chicoria c caldo de frango c cebola c oleo de soja c sal,TBCA,4453,C0111N,"Papa de feijão carioca, macarrão e chicória, c/ caldo de frango, c/ cebola, c/ óleo de soja, c/ sal,",82.0,3.33,0.0,2.99,3.87,0,0,0,0,0,0,,,
papa de feijao carioca macarrao e chicoria c caldo de frango c cebola c oleo de soja s sal,TBCA,4429,C0133N,"Papa de feijão carioca, macarrão e chicória, c/ caldo de frango, c/ cebola, c/ óleo de soja, s/ sal,",82.0,3.33,0.0,2.99,3.88,0,0,0,0,0,0,,,
papa de feijao carioca macarrao e chicoria c caldo de frango c cebola c oleo de soja s sal,TBCA,2974,C0132N,"Papa de feijão carioca, macarrão e chicória, c/ caldo de frango, c/ cebola, c/ óleo de soja, s/ sal,",82.0,3.33,0.0,2.99,3.88,0,0,0,0,0,0,,,
papa de peito de frango e batata baroa mandioquinha batata salsa c caldo de frango c cebola s oleo s sal,TBCA,5268,C0259N,"Papa de peito de frango e batata baroa (mandioquinha, batata salsa), c/ caldo de frango, c/ cebola, s/ óleo, s/ sal,",93.0,13.3,0.0,1.36,0.75,0,0,0,0,0,0,,,
papa de peito de frango e batata baroa mandioquinha batata salsa c caldo de frango c cebola s oleo s sal,TBCA,2810,C0256N,"Papa de peito de frango e batata baroa (mandioquinha, batata salsa), c/ caldo de frango, c/ cebola, s/ óleo, s/ sal,",110.0,13.2,0.0,3.36,0.71,0,0,0,0,0,0,,,
peixe agua doce tambaqui frito c oleo de soja c sal media de cortes e amostras colossoma macropomum,TBCA,1414,C0526E,"Peixe, água doce, Tambaqui, frito (c/ óleo de soja), c/ sal (média de cortes e amostras), Colossoma macropomum,",160.0,24.3,0.0,6.98,0.0,0,0,0,0,0,0,,,
peixe agua doce tambaqui frito c oleo de soja c sal media de cortes e amostras colossoma macropomum,TBCA,933,C0528E,"Peixe, água doce, Tambaqui, frito (c/ óleo de soja), c/ sal (média de cortes e amostras), Colossoma macropomum,",125.0,26.3,0.0,2.17,0.0,0,0,0,0,0,0,,,
queijo cheddar,TBCA,3067,C0090G,"Queijo, cheddar,",404.0,22.9,0.0,33.3,0.0,0,0,0,0,0,0,,,
queijo cheddar,USDA,14,171284,Queijo cheddar,403.0,24.9,1.3,33.1,0.0,0,0,0,0,0,0,,,
queijo gorgonzola,TBCA,2038,C0132G,"Queijo, gorgonzola,",324.0,19.1,0.0,27.1,0.0,0,0,0,0,0,0,,,
queijo gorgonzola,IBGE,6238,7903301,Queijo gorgonzola,,,,,,0,0,0,0,0,0,,,
queijo mucarela light,TBCA,5599,C0074N,"Queijo, muçarela, light,",251.0,24.3,0.0,15.9,0.0,0,0,0,0,0,0,,,
queijo mucarela light,IBGE,6349,7905104,Queijo muçarela light,,,,,,0,0,0,0,0,0,,,
queijo provolone,TBCA,3849,C0057G,"Queijo, provolone,",350.0,25.6,0.0,26.6,0.0,0,0,0,0,0,0,,,
queijo provolone,IBGE,6157,7902501,Queijo provolone,,,,,,0,0,0,0,0,0,,,
queijo ricota light,TBCA,1783,C0075N,"Queijo, ricota, light,",137.0,11.4,0.0,7.91,0.0,0,0,0,0,0,0,,,
queijo ricota light,IBGE,6371,7906201,Queijo ricota light,,,,,,0,0,0,0,0,0,,,
salada alface americana c molho de salada salsa suco de limao azeite de oliva c sal,TBCA,1062,C0593B,"Salada, alface americana, c/ molho de salada - salsa, suco de limão, azeite de oliva, c/ sal,",39.0,0.53,0.0,3.47,1.25,0,0,0,0,0,0,,,
salada alface americana c molho de salada salsa suco de limao azeite de oliva c sal,TBCA,3786,C0594B,"Salada, alface americana, c/ molho de salada - salsa, suco de limão, azeite de oliva, c/ sal,",38.0,0.5,0.0,3.47,1.21,0,0,0,0,0,0,,,
salada cenoura cozida cebola c molho vinagrete tomate cebola salsa vinagre e azeite de oliva s sal,TBCA,5152,C0510B,"Salada, cenoura cozida, cebola, c/ molho vinagrete (tomate, cebola, salsa, vinagre e azeite de oliva), s/ sal,",34.0,0.61,0.0,1.9,1.94,0,0,0,0,0,0,,,
salada cenoura cozida cebola c molho vinagrete tomate cebola salsa vinagre e azeite de oliva s sal,TBCA,2941,C0516B,"Salada, cenoura cozida, cebola, c/ molho vinagrete (tomate, cebola, salsa, vinagre e azeite de oliva), s/ sal,",41.0,0.88,0.0,2.02,1.89,0,0,0,0,0,0,,,
salada legumes cozidos c azeite de oliva c sal batata cenoura chuchu c azeite de oliva c sal,TBCA,4956,C0369B,"Salada, legumes cozidos, c/ azeite de oliva, c/ sal, (batata, cenoura, chuchu, c/ azeite de oliva, c/ sal),",61.0,0.91,0.0,4.91,2.03,0,0,0,0,0,0,,,
salada legumes cozidos c azeite de oliva c sal batata cenoura chuchu c azeite de oliva c sal,TBCA,3305,C0364B,"Salada, legumes cozidos, c/ azeite de oliva, c/ sal, (batata, cenoura, chuchu, c/ azeite de oliva, c/ sal),",69.0,0.75,0.0,4.66,1.6,0,0,0,0,0,0,,,
salada repolho roxo cru c azeite de oliva c sal,TBCA,4738,C0627B,"Salada, repolho roxo cru, c/ azeite de oliva, c/ sal,",73.0,1.15,0.0,5.92,1.58,0,0,0,0,0,0,,,
salada repolho roxo cru c azeite de oliva c sal,TBCA,2564,C1028B,"Salada, repolho roxo, cru, c/ azeite de oliva, c/ sal,",57.0,1.18,0.0,3.74,1.61,0,0,0,0,0,0,,,
sanduiche misto quente pao forma integral c presunto queijo mucarela c maionese,TBCA,793,C0263A,"Sanduíche, misto quente, pão forma integral, c/ presunto, queijo muçarela, c/ maionese,",245.0,13.1,0.0,12.6,2.03,0,0,0,0,0,0,,,
sanduiche misto quente pao forma integral c presunto queijo mucarela c maionese,TBCA,3939,C0261A,"Sanduíche, misto quente, pão forma integral, c/ presunto, queijo muçarela, c/ maionese,",231.0,14.9,0.0,8.46,1.22,0,0,0,0,0,0,,,
sanduiche misto quente pao frances c presunto queijo mucarela c manteiga,TBCA,259,C0265A,"Sanduíche, misto quente, pão francês, c/ presunto, queijo muçarela, c/ manteiga,",276.0,14.2,0.0,15.4,2.2,0,0,0,0,0,0,,,
sanduiche misto quente pao frances c presunto queijo mucarela c manteiga,TBCA,3193,C0268A,"Sanduíche, misto quente, pão francês, c/ presunto, queijo muçarela, c/ manteiga,",298.0,13.9,0.0,15.3,1.09,0,0,0,0,0,0,,,
sanduiche pao forma integral c queijo minas alface americana cenoura crua tomate c maionese,TBCA,2614,C0388A,"Sanduíche, pão forma integral, c/ queijo minas, alface americana, cenoura crua, tomate, c/ maionese,",145.0,7.43,0.0,6.3,2.16,0,0,0,0,0,0,,,
sanduiche pao forma integral c queijo minas alface americana cenoura crua tomate c maionese,TBCA,3052,C0852A,"Sanduíche, pão forma integral, c/ queijo minas, alface americana, cenoura crua, tomate, c/ maionese,",165.0,7.19,0.0,8.61,2.09,0,0,0,0,0,0,,,
